confidence_factor,number_of_bins,correctly_classified,accuracy
0.325,09,944,50
0.325,10,944,50
0.325,11,1023,54.1843
0.325,12,1037,54.9258
0.325,13,944,50
0.325,14,944,50
0.325,15,944,50
0.325,16,942,49.8941
0.325,17,942,49.8941
0.325,18,944,50
0.325,19,942,49.8941
0.325,20,942,49.8941
0.350,01,956,50.6356
0.350,02,975,51.6419
0.350,03,944,50
0.350,04,995,52.7013
0.350,05,977,51.7479
0.350,06,976,51.6949
0.350,07,996,52.7542
0.350,08,1034,54.7669
0.350,09,1026,54.3432
0.350,10,1017,53.8665
0.350,11,1038,54.9788
0.350,12,1054,55.8263
0.350,13,1032,54.661
0.350,14,1051,55.6674
0.350,15,1033,54.714
0.350,16,942,49.8941
0.350,17,1043,55.2436
0.350,18,1033,54.714
0.350,19,942,49.8941
0.350,20,1055,55.8792
0.375,01,956,50.6356
0.375,02,975,51.6419
0.375,03,978,51.8008
0.375,04,999,52.9131
0.375,05,990,52.4364
0.375,06,1003,53.125
0.375,07,1015,53.7606
0.375,08,1042,55.1907
0.375,09,1029,54.5021
0.375,10,1017,53.8665
0.375,11,1038,54.9788
0.375,12,1072,56.7797
0.375,13,1039,55.0318
0.375,14,1055,55.8792
0.375,15,1038,54.9788
0.375,16,1034,54.7669
0.375,17,1046,55.4025
0.375,18,1033,54.714
0.375,19,1065,56.4089
0.375,20,1060,56.1441
0.4,01,981,51.9597
0.4,02,992,52.5424
0.4,03,1008,53.3898
0.4,04,1007,53.3369
0.4,05,990,52.4364
0.4,06,1005,53.2309
0.4,07,1020,54.0254
0.4,08,1053,55.7733
0.4,09,1029,54.5021
0.4,10,1026,54.3432
0.4,11,1044,55.2966
0.4,12,1074,56.8856
0.4,13,1053,55.7733
0.4,14,1074,56.8856
0.4,15,1061,56.197
0.4,16,1041,55.1377
0.4,17,1049,55.5614
0.4,18,1045,55.3496
0.4,19,1088,57.6271
0.4,20,1060,56.1441
0.425,01,985,52.1716
0.425,02,994,52.6483
0.425,03,1008,53.3898
0.425,04,1014,53.7076
0.425,05,998,52.8602
0.425,06,1027,54.3962
0.425,07,1025,54.2903
0.425,08,1059,56.0911
0.425,09,1033,54.714
0.425,10,1030,54.5551
0.425,11,1056,55.9322
0.425,12,1079,57.1504
0.425,13,1057,55.9852
0.425,14,1074,56.8856
0.425,15,1068,56.5678
0.425,16,1042,55.1907
0.425,17,1063,56.303
0.425,18,1048,55.5085
0.425,19,1092,57.839
0.425,20,1066,56.4619
0.45,01,994,52.6483
0.45,02,994,52.6483
0.45,03,1008,53.3898
0.45,04,1014,53.7076
0.45,05,1008,53.3898
0.45,06,1039,55.0318
0.45,07,1032,54.661
0.45,08,1059,56.0911
0.45,09,1035,54.8199
0.45,10,1040,55.0847
0.45,11,1062,56.25
0.45,12,1089,57.6801
0.45,13,1082,57.3093
0.45,14,1086,57.5212
0.45,15,1079,57.1504
0.45,16,1065,56.4089
0.45,17,1070,56.6737
0.45,18,1065,56.4089
0.45,19,1111,58.8453
0.45,20,1081,57.2564
0.475,01,1001,53.0191
0.475,02,1006,53.2839
0.475,03,1015,53.7606
0.475,04,1020,54.0254
0.475,05,1024,54.2373
0.475,06,1056,55.9322
0.475,07,1041,55.1377
0.475,08,1059,56.0911
0.475,09,1043,55.2436
0.475,10,1050,55.6144
0.475,11,1068,56.5678
0.475,12,1093,57.8919
0.475,13,1088,57.6271
0.475,14,1086,57.5212
0.475,15,1085,57.4682
0.475,16,1074,56.8856
0.475,17,1093,57.8919
0.475,18,1078,57.0975
0.475,19,1111,58.8453
0.475,20,1081,57.2564
0.5,01,1001,53.0191
0.5,02,1006,53.2839
0.5,03,1021,54.0784
0.5,04,1027,54.3962
0.5,05,1024,54.2373
0.5,06,1056,55.9322
0.5,07,1041,55.1377
0.5,08,1059,56.0911
0.5,09,1046,55.4025
0.5,10,1050,55.6144
0.5,11,1068,56.5678
0.5,12,1093,57.8919
0.5,13,1088,57.6271
0.5,14,1089,57.6801
0.5,15,1092,57.839
0.5,16,1077,57.0445
0.5,17,1096,58.0508
0.5,18,1091,57.786
0.5,19,1111,58.8453
0.5,20,1092,57.839
