noise_percentage,confidence_factor,correctly_classified,accuracy
02.350,0.1,922,48.8347
02.350,0.225,925,48.9936
02.350,0.25,952,50.4237
02.350,0.275,981,51.9597
02.350,0.2,925,48.9936
02.350,0.325,1116,59.1102
02.350,0.350,1126,59.6398
02.350,0.375,1145,60.6462
02.350,0.3,1114,59.0042
02.350,0.425,1162,61.5466
02.350,0.45,1171,62.0233
02.350,0.475,1180,62.5
02.350,0.4,1148,60.8051
02.350,0.5,1184,62.7119
02.400,0.025,918,48.6229
02.400,0.05,918,48.6229
02.400,0.075,920,48.7288
02.400,0.125,920,48.7288
02.400,0.150,922,48.8347
02.400,0.175,950,50.3178
02.400,0.1,920,48.7288
02.400,0.225,987,52.2775
02.400,0.25,987,52.2775
02.400,0.275,990,52.4364
02.400,0.2,987,52.2775
02.400,0.325,1110,58.7924
02.400,0.350,1116,59.1102
02.400,0.375,1124,59.5339
02.400,0.3,1085,57.4682
02.400,0.425,1162,61.5466
02.400,0.45,1168,61.8644
02.400,0.475,1171,62.0233
02.400,0.4,1145,60.6462
02.400,0.5,1175,62.2352
02.450,0.025,927,49.0996
02.450,0.05,928,49.1525
02.450,0.075,928,49.1525
02.450,0.125,928,49.1525
02.450,0.150,928,49.1525
02.450,0.175,940,49.7881
02.450,0.1,928,49.1525
02.450,0.225,941,49.8411
02.450,0.25,986,52.2246
02.450,0.275,1110,58.7924
02.450,0.2,941,49.8411
02.450,0.325,1130,59.8517
02.450,0.350,1152,61.0169
02.450,0.375,1175,62.2352
02.450,0.3,1121,59.375
02.450,0.425,1180,62.5
02.450,0.45,1186,62.8178
02.450,0.475,1186,62.8178
02.450,0.4,1178,62.3941
02.450,0.5,1186,62.8178
02.500,0.025,865,45.8157
02.500,0.05,919,48.6758
02.500,0.075,919,48.6758
02.500,0.125,919,48.6758
02.500,0.150,921,48.7818
02.500,0.175,921,48.7818
02.500,0.1,919,48.6758
02.500,0.225,922,48.8347
02.500,0.25,981,51.9597
02.500,0.275,984,52.1186
02.500,0.2,944,50
02.500,0.325,1088,57.6271
02.500,0.350,1094,57.9449
02.500,0.375,1123,59.4809
02.500,0.3,1079,57.1504
02.500,0.425,1132,59.9576
02.500,0.45,1148,60.8051
02.500,0.475,1160,61.4407
02.500,0.4,1128,59.7458
02.500,0.5,1164,61.6525
02.550,0.025,875,46.3453
02.550,0.05,928,49.1525
02.550,0.075,928,49.1525
02.550,0.125,928,49.1525
02.550,0.150,930,49.2585
02.550,0.175,930,49.2585
02.550,0.1,928,49.1525
02.550,0.225,1020,54.0254
02.550,0.25,1023,54.1843
02.550,0.275,1088,57.6271
02.550,0.2,931,49.3114
02.550,0.325,1125,59.5869
02.550,0.350,1135,60.1165
02.550,0.375,1136,60.1695
02.550,0.3,1102,58.3686
02.550,0.425,1155,61.1758
02.550,0.45,1171,62.0233
02.550,0.475,1171,62.0233
02.550,0.4,1142,60.4873
02.550,0.5,1171,62.0233
02.600,0.025,868,45.9746
02.600,0.05,923,48.8877
02.600,0.075,923,48.8877
02.600,0.125,923,48.8877
02.600,0.150,923,48.8877
02.600,0.175,923,48.8877
02.600,0.1,923,48.8877
02.600,0.225,1020,54.0254
02.600,0.25,1028,54.4492
02.600,0.275,1109,58.7394
02.600,0.2,924,48.9407
02.600,0.325,1118,59.2161
02.600,0.350,1134,60.0636
02.600,0.375,1140,60.3814
02.600,0.3,1112,58.8983
02.600,0.425,1162,61.5466
02.600,0.45,1169,61.9174
02.600,0.475,1164,61.6525
02.600,0.4,1160,61.4407
02.600,0.5,1175,62.2352
02.650,0.025,865,45.8157
02.650,0.05,923,48.8877
02.650,0.075,923,48.8877
02.650,0.125,923,48.8877
02.650,0.150,923,48.8877
02.650,0.175,923,48.8877
02.650,0.1,923,48.8877
02.650,0.225,987,52.2775
02.650,0.25,1008,53.3898
02.650,0.275,1010,53.4958
02.650,0.2,937,49.6292
02.650,0.325,1069,56.6208
02.650,0.350,1111,58.8453
02.650,0.375,1122,59.428
02.650,0.3,1071,56.7267
02.650,0.425,1145,60.6462
02.650,0.45,1160,61.4407
02.650,0.475,1167,61.8114
02.650,0.4,1127,59.6928
02.650,0.5,1167,61.8114
02.700,0.025,912,48.3051
02.700,0.05,913,48.3581
02.700,0.075,913,48.3581
02.700,0.125,913,48.3581
02.700,0.150,913,48.3581
02.700,0.175,938,49.6822
02.700,0.1,913,48.3581
02.700,0.225,974,51.589
02.700,0.25,992,52.5424
02.700,0.275,1112,58.8983
02.700,0.2,939,49.7352
02.700,0.325,1124,59.5339
02.700,0.350,1124,59.5339
02.700,0.375,1141,60.4343
02.700,0.3,1118,59.2161
02.700,0.425,1159,61.3877
02.700,0.45,1161,61.4936
02.700,0.475,1170,61.9703
02.700,0.4,1141,60.4343
02.700,0.5,1170,61.9703
02.750,0.025,876,46.3983
02.750,0.05,927,49.0996
02.750,0.075,928,49.1525
02.750,0.125,928,49.1525
02.750,0.150,930,49.2585
02.750,0.175,930,49.2585
02.750,0.1,928,49.1525
02.750,0.225,991,52.4894
02.750,0.25,991,52.4894
02.750,0.275,995,52.7013
02.750,0.2,942,49.8941
02.750,0.325,1120,59.322
02.750,0.350,1121,59.375
02.750,0.375,1136,60.1695
02.750,0.3,1116,59.1102
02.750,0.425,1145,60.6462
02.750,0.45,1170,61.9703
02.750,0.475,1167,61.8114
02.750,0.4,1141,60.4343
02.750,0.5,1178,62.3941
02.800,0.025,865,45.8157
02.800,0.05,916,48.5169
02.800,0.075,916,48.5169
02.800,0.125,916,48.5169
02.800,0.150,916,48.5169
02.800,0.175,929,49.2055
02.800,0.1,916,48.5169
02.800,0.225,976,51.6949
02.800,0.25,976,51.6949
02.800,0.275,1053,55.7733
02.800,0.2,930,49.2585
02.800,0.325,1099,58.2097
02.800,0.350,1111,58.8453
02.800,0.375,1114,59.0042
02.800,0.3,1094,57.9449
02.800,0.425,1141,60.4343
02.800,0.45,1155,61.1758
02.800,0.475,1155,61.1758
02.800,0.4,1117,59.1631
02.800,0.5,1158,61.3347
02.850,0.025,874,46.2924
02.850,0.05,928,49.1525
02.850,0.075,928,49.1525
02.850,0.125,928,49.1525
02.850,0.150,930,49.2585
02.850,0.175,930,49.2585
02.850,0.1,928,49.1525
02.850,0.225,931,49.3114
02.850,0.25,974,51.589
02.850,0.275,1102,58.3686
02.850,0.2,931,49.3114
02.850,0.325,1126,59.6398
02.850,0.350,1140,60.3814
02.850,0.375,1143,60.5403
02.850,0.3,1123,59.4809
02.850,0.425,1186,62.8178
02.850,0.45,1190,63.0297
02.850,0.475,1195,63.2945
02.850,0.4,1179,62.447
02.850,0.5,1195,63.2945
02.900,0.025,866,45.8686
02.900,0.05,919,48.6758
02.900,0.075,919,48.6758
02.900,0.125,919,48.6758
02.900,0.150,932,49.3644
02.900,0.175,932,49.3644
02.900,0.1,919,48.6758
02.900,0.225,922,48.8347
02.900,0.25,976,51.6949
02.900,0.275,986,52.2246
02.900,0.2,933,49.4174
02.900,0.325,1122,59.428
02.900,0.350,1135,60.1165
02.900,0.375,1141,60.4343
02.900,0.3,1097,58.1038
02.900,0.425,1158,61.3347
02.900,0.45,1158,61.3347
02.900,0.475,1158,61.3347
02.900,0.4,1146,60.6992
02.900,0.5,1158,61.3347
02.950,0.025,921,48.7818
02.950,0.05,921,48.7818
02.950,0.075,921,48.7818
02.950,0.125,921,48.7818
02.950,0.150,921,48.7818
02.950,0.175,921,48.7818
02.950,0.1,921,48.7818
02.950,0.225,968,51.2712
02.950,0.25,966,51.1653
02.950,0.275,978,51.8008
02.950,0.2,968,51.2712
02.950,0.325,1125,59.5869
02.950,0.350,1125,59.5869
02.950,0.375,1154,61.1229
02.950,0.3,1086,57.5212
02.950,0.425,1163,61.5996
02.950,0.45,1163,61.5996
02.950,0.475,1167,61.8114
02.950,0.4,1159,61.3877
02.950,0.5,1167,61.8114
03.000,0.025,865,45.8157
03.000,0.05,916,48.5169
03.000,0.075,916,48.5169
03.000,0.125,916,48.5169
03.000,0.150,916,48.5169
03.000,0.175,953,50.4767
03.000,0.1,916,48.5169
03.000,0.225,980,51.9068
03.000,0.25,1004,53.178
03.000,0.275,1121,59.375
03.000,0.2,976,51.6949
03.000,0.325,1131,59.9047
03.000,0.350,1147,60.7521
03.000,0.375,1151,60.964
03.000,0.3,1124,59.5339
03.000,0.425,1174,62.1822
03.000,0.45,1180,62.5
03.000,0.475,1180,62.5
03.000,0.4,1166,61.7585
03.000,0.5,1180,62.5
03.050,0.025,871,46.1335
03.050,0.05,921,48.7818
03.050,0.075,921,48.7818
03.050,0.125,921,48.7818
03.050,0.150,923,48.8877
03.050,0.175,923,48.8877
03.050,0.1,921,48.7818
03.050,0.225,954,50.5297
03.050,0.25,970,51.3771
03.050,0.275,1042,55.1907
03.050,0.2,962,50.9534
03.050,0.325,1105,58.5275
03.050,0.350,1115,59.0572
03.050,0.375,1123,59.4809
03.050,0.3,1090,57.7331
03.050,0.425,1148,60.8051
03.050,0.45,1154,61.1229
03.050,0.475,1156,61.2288
03.050,0.4,1128,59.7458
03.050,0.5,1160,61.4407
03.100,0.025,915,48.464
03.100,0.05,916,48.5169
03.100,0.075,916,48.5169
03.100,0.125,916,48.5169
03.100,0.150,916,48.5169
03.100,0.175,919,48.6758
03.100,0.1,916,48.5169
03.100,0.225,980,51.9068
03.100,0.25,979,51.8538
03.100,0.275,986,52.2246
03.100,0.2,920,48.7288
03.100,0.325,1107,58.6335
03.100,0.350,1119,59.2691
03.100,0.375,1134,60.0636
03.100,0.3,1104,58.4746
03.100,0.425,1151,60.964
03.100,0.45,1167,61.8114
03.100,0.475,1162,61.5466
03.100,0.4,1149,60.8581
03.100,0.5,1173,62.1292
03.150,0.025,859,45.4979
03.150,0.05,913,48.3581
03.150,0.075,913,48.3581
03.150,0.125,913,48.3581
03.150,0.150,915,48.464
03.150,0.175,940,49.7881
03.150,0.1,913,48.3581
03.150,0.225,949,50.2648
03.150,0.25,949,50.2648
03.150,0.275,1079,57.1504
03.150,0.2,941,49.8411
03.150,0.325,1089,57.6801
03.150,0.350,1103,58.4216
03.150,0.375,1131,59.9047
03.150,0.3,1086,57.5212
03.150,0.425,1149,60.8581
03.150,0.45,1162,61.5466
03.150,0.475,1167,61.8114
03.150,0.4,1139,60.3284
03.150,0.5,1173,62.1292
03.200,0.025,862,45.6568
03.200,0.05,919,48.6758
03.200,0.075,919,48.6758
03.200,0.125,919,48.6758
03.200,0.150,921,48.7818
03.200,0.175,977,51.7479
03.200,0.1,919,48.6758
03.200,0.225,987,52.2775
03.200,0.25,989,52.3835
03.200,0.275,1020,54.0254
03.200,0.2,978,51.8008
03.200,0.325,1114,59.0042
03.200,0.350,1126,59.6398
03.200,0.375,1151,60.964
03.200,0.3,1106,58.5805
03.200,0.425,1167,61.8114
03.200,0.45,1177,62.3411
03.200,0.475,1177,62.3411
03.200,0.4,1157,61.2818
03.200,0.5,1177,62.3411
03.250,0.025,915,48.464
03.250,0.05,916,48.5169
