noise_percentage,confidence_factor,size_of_the_tree
09.050,0.025,1
09.050,0.05,32
09.050,0.075,39
09.050,0.125,42
09.050,0.150,45
09.050,0.175,45
09.050,0.1,42
09.050,0.225,99
09.050,0.25,262
09.050,0.275,314
09.050,0.2,45
09.050,0.325,436
09.050,0.350,451
09.050,0.375,491
09.050,0.3,337
09.050,0.425,519
09.050,0.45,571
09.050,0.475,574
09.050,0.4,511
09.050,0.5,614
09.100,0.025,1
09.100,0.05,31
09.100,0.075,31
09.100,0.125,40
09.100,0.150,40
09.100,0.175,40
09.100,0.1,40
09.100,0.225,134
09.100,0.25,134
09.100,0.275,146
09.100,0.2,44
09.100,0.325,438
09.100,0.350,450
09.100,0.375,475
09.100,0.3,404
09.100,0.425,551
09.100,0.45,581
09.100,0.475,593
09.100,0.4,543
09.100,0.5,625
09.150,0.025,1
09.150,0.05,42
09.150,0.075,45
09.150,0.125,45
09.150,0.150,45
09.150,0.175,63
09.150,0.1,45
09.150,0.225,146
09.150,0.25,152
09.150,0.275,180
09.150,0.2,63
09.150,0.325,346
09.150,0.350,409
09.150,0.375,445
09.150,0.3,339
09.150,0.425,529
09.150,0.45,561
09.150,0.475,585
09.150,0.4,510
09.150,0.5,585
09.200,0.025,1
09.200,0.05,41
09.200,0.075,47
09.200,0.125,47
09.200,0.150,47
09.200,0.175,47
09.200,0.1,47
09.200,0.225,151
09.200,0.25,181
09.200,0.275,183
09.200,0.2,151
09.200,0.325,462
09.200,0.350,488
09.200,0.375,503
09.200,0.3,425
09.200,0.425,561
09.200,0.45,573
09.200,0.475,579
09.200,0.4,526
09.200,0.5,579
09.250,0.025,1
09.250,0.05,40
09.250,0.075,40
09.250,0.125,58
09.250,0.150,61
09.250,0.175,71
09.250,0.1,47
09.250,0.225,78
09.250,0.25,203
09.250,0.275,203
09.250,0.2,75
09.250,0.325,425
09.250,0.350,480
09.250,0.375,499
09.250,0.3,368
09.250,0.425,609
09.250,0.45,633
09.250,0.475,633
09.250,0.4,539
09.250,0.5,633
09.300,0.025,35
09.300,0.05,38
09.300,0.075,38
09.300,0.125,38
09.300,0.150,41
09.300,0.175,130
09.300,0.1,38
09.300,0.225,135
09.300,0.25,181
09.300,0.275,195
09.300,0.2,135
09.300,0.325,416
09.300,0.350,453
09.300,0.375,504
09.300,0.3,223
09.300,0.425,524
09.300,0.45,574
09.300,0.475,574
09.300,0.4,516
09.300,0.5,574
09.350,0.025,1
09.350,0.05,31
09.350,0.075,31
09.350,0.125,45
09.350,0.150,45
09.350,0.175,45
09.350,0.1,31
09.350,0.225,189
09.350,0.25,230
09.350,0.275,350
09.350,0.2,186
09.350,0.325,395
09.350,0.350,413
09.350,0.375,484
09.350,0.3,365
09.350,0.425,561
09.350,0.45,568
09.350,0.475,603
09.350,0.4,530
09.350,0.5,603
09.400,0.025,1
09.400,0.05,31
09.400,0.075,31
09.400,0.125,31
09.400,0.150,31
09.400,0.175,86
09.400,0.1,31
09.400,0.225,174
09.400,0.25,211
09.400,0.275,269
09.400,0.2,90
09.400,0.325,494
09.400,0.350,570
09.400,0.375,574
09.400,0.3,473
09.400,0.425,603
09.400,0.45,603
09.400,0.475,603
09.400,0.4,597
09.400,0.5,603
09.450,0.025,1
09.450,0.05,44
09.450,0.075,44
09.450,0.125,44
09.450,0.150,44
09.450,0.175,44
09.450,0.1,44
09.450,0.225,84
09.450,0.25,337
09.450,0.275,359
09.450,0.2,84
09.450,0.325,432
09.450,0.350,432
09.450,0.375,453
09.450,0.3,418
09.450,0.425,507
09.450,0.45,526
09.450,0.475,540
09.450,0.4,492
09.450,0.5,540
09.500,0.025,1
09.500,0.05,1
09.500,0.075,38
09.500,0.125,40
09.500,0.150,43
09.500,0.175,43
09.500,0.1,40
09.500,0.225,122
09.500,0.25,152
09.500,0.275,184
09.500,0.2,47
09.500,0.325,369
09.500,0.350,409
09.500,0.375,465
09.500,0.3,202
09.500,0.425,505
09.500,0.45,550
09.500,0.475,557
09.500,0.4,488
09.500,0.5,557
09.550,0.025,1
09.550,0.05,1
09.550,0.075,35
09.550,0.125,48
09.550,0.150,71
09.550,0.175,71
09.550,0.1,35
09.550,0.225,75
09.550,0.25,75
09.550,0.275,85
09.550,0.2,75
09.550,0.325,486
09.550,0.350,499
09.550,0.375,559
09.550,0.3,437
09.550,0.425,587
09.550,0.45,649
09.550,0.475,649
09.550,0.4,587
09.550,0.5,649
09.600,0.025,1
09.600,0.05,38
09.600,0.075,38
09.600,0.125,38
09.600,0.150,41
09.600,0.175,41
09.600,0.1,38
09.600,0.225,45
09.600,0.25,132
09.600,0.275,231
09.600,0.2,45
09.600,0.325,424
09.600,0.350,448
09.600,0.375,466
09.600,0.3,414
09.600,0.425,551
09.600,0.45,598
09.600,0.475,617
09.600,0.4,523
09.600,0.5,617
09.650,0.025,1
09.650,0.05,1
09.650,0.075,1
09.650,0.125,36
09.650,0.150,36
09.650,0.175,43
09.650,0.1,36
09.650,0.225,135
09.650,0.25,146
09.650,0.275,404
09.650,0.2,50
09.650,0.325,497
09.650,0.350,534
09.650,0.375,551
09.650,0.3,452
09.650,0.425,564
09.650,0.45,583
09.650,0.475,605
09.650,0.4,551
09.650,0.5,605
09.700,0.025,1
09.700,0.05,1
09.700,0.075,38
09.700,0.125,38
09.700,0.150,41
09.700,0.175,41
09.700,0.1,38
09.700,0.225,127
09.700,0.25,135
09.700,0.275,135
09.700,0.2,41
09.700,0.325,357
09.700,0.350,406
09.700,0.375,420
09.700,0.3,325
09.700,0.425,523
09.700,0.45,548
09.700,0.475,600
09.700,0.4,492
09.700,0.5,600
09.750,0.025,1
09.750,0.05,1
09.750,0.075,38
09.750,0.125,38
09.750,0.150,38
09.750,0.175,52
09.750,0.1,38
09.750,0.225,131
09.750,0.25,155
09.750,0.275,160
09.750,0.2,123
09.750,0.325,440
09.750,0.350,449
09.750,0.375,542
09.750,0.3,193
09.750,0.425,582
09.750,0.45,596
09.750,0.475,596
09.750,0.4,542
09.750,0.5,622
09.800,0.025,1
09.800,0.05,1
09.800,0.075,25
09.800,0.125,46
09.800,0.150,46
09.800,0.175,46
09.800,0.1,46
09.800,0.225,150
09.800,0.25,137
09.800,0.275,137
09.800,0.2,46
09.800,0.325,250
09.800,0.350,410
09.800,0.375,480
09.800,0.3,244
09.800,0.425,574
09.800,0.45,588
09.800,0.475,588
09.800,0.4,568
09.800,0.5,588
09.850,0.025,1
09.850,0.05,34
09.850,0.075,34
09.850,0.125,34
09.850,0.150,34
09.850,0.175,86
09.850,0.1,34
09.850,0.225,87
09.850,0.25,153
09.850,0.275,404
09.850,0.2,90
09.850,0.325,471
09.850,0.350,506
09.850,0.375,524
09.850,0.3,428
09.850,0.425,566
09.850,0.45,608
09.850,0.475,643
09.850,0.4,559
09.850,0.5,643
09.900,0.025,1
09.900,0.05,39
09.900,0.075,42
09.900,0.125,42
09.900,0.150,45
09.900,0.175,45
09.900,0.1,42
09.900,0.225,114
09.900,0.25,126
09.900,0.275,340
09.900,0.2,49
09.900,0.325,467
09.900,0.350,486
09.900,0.375,494
09.900,0.3,408
09.900,0.425,567
09.900,0.45,592
09.900,0.475,592
09.900,0.4,529
09.900,0.5,624
09.950,0.025,1
09.950,0.05,39
09.950,0.075,39
09.950,0.125,39
09.950,0.150,84
09.950,0.175,91
09.950,0.1,39
09.950,0.225,116
09.950,0.25,116
09.950,0.275,324
09.950,0.2,116
09.950,0.325,363
09.950,0.350,469
09.950,0.375,504
09.950,0.3,347
09.950,0.425,524
09.950,0.45,546
09.950,0.475,546
09.950,0.4,510
09.950,0.5,566
10.000,0.025,1
10.000,0.05,38
10.000,0.075,38
10.000,0.125,38
10.000,0.150,49
10.000,0.175,79
10.000,0.1,38
10.000,0.225,115
10.000,0.25,108
10.000,0.275,140
10.000,0.2,83
10.000,0.325,367
10.000,0.350,447
10.000,0.375,475
10.000,0.3,351
10.000,0.425,564
10.000,0.45,590
10.000,0.475,609
10.000,0.4,510
10.000,0.5,609
10.050,0.025,1
10.050,0.05,34
10.050,0.075,34
10.050,0.125,44
10.050,0.150,67
10.050,0.175,67
10.050,0.1,44
10.050,0.225,172
10.050,0.25,172
10.050,0.275,226
10.050,0.2,98
10.050,0.325,469
10.050,0.350,509
10.050,0.375,564
10.050,0.3,450
10.050,0.425,613
10.050,0.45,636
10.050,0.475,643
10.050,0.4,601
10.050,0.5,643
10.100,0.025,1
10.100,0.05,1
10.100,0.075,38
10.100,0.125,38
10.100,0.150,41
10.100,0.175,41
10.100,0.1,38
10.100,0.225,57
10.100,0.25,57
10.100,0.275,189
10.100,0.2,45
10.100,0.325,417
10.100,0.350,449
10.100,0.375,529
10.100,0.3,371
10.100,0.425,543
10.100,0.45,609
10.100,0.475,624
10.100,0.4,520
10.100,0.5,624
10.150,0.025,1
10.150,0.05,32
10.150,0.075,43
10.150,0.125,43
10.150,0.150,43
10.150,0.175,43
10.150,0.1,43
10.150,0.225,115
10.150,0.25,192
10.150,0.275,195
10.150,0.2,43
10.150,0.325,448
10.150,0.350,477
10.150,0.375,477
10.150,0.3,426
10.150,0.425,565
10.150,0.45,576
10.150,0.475,590
10.150,0.4,558
10.150,0.5,590
10.200,0.025,1
10.200,0.05,38
10.200,0.075,38
10.200,0.125,38
10.200,0.150,86
10.200,0.175,98
10.200,0.1,38
10.200,0.225,102
10.200,0.25,143
10.200,0.275,156
10.200,0.2,102
10.200,0.325,377
10.200,0.350,390
10.200,0.375,490
10.200,0.3,371
10.200,0.425,533
10.200,0.45,558
10.200,0.475,570
10.200,0.4,512
10.200,0.5,602
10.250,0.025,1
10.250,0.05,1
10.250,0.075,33
10.250,0.125,46
10.250,0.150,49
10.250,0.175,71
10.250,0.1,33
10.250,0.225,135
10.250,0.25,135
10.250,0.275,200
10.250,0.2,125
10.250,0.325,440
10.250,0.350,483
10.250,0.375,483
10.250,0.3,401
10.250,0.425,522
10.250,0.45,586
10.250,0.475,586
10.250,0.4,515
10.250,0.5,586
10.300,0.025,1
10.300,0.05,38
10.300,0.075,41
10.300,0.125,41
10.300,0.150,41
10.300,0.175,41
10.300,0.1,41
10.300,0.225,45
10.300,0.25,118
10.300,0.275,292
10.300,0.2,45
10.300,0.325,351
10.300,0.350,462
10.300,0.375,468
10.300,0.3,329
10.300,0.425,524
10.300,0.45,532
10.300,0.475,543
10.300,0.4,480
10.300,0.5,543
10.350,0.025,1
10.350,0.05,34
10.350,0.075,43
10.350,0.125,43
10.350,0.150,43
10.350,0.175,43
10.350,0.1,43
10.350,0.225,167
10.350,0.25,191
10.350,0.275,250
10.350,0.2,47
10.350,0.325,388
10.350,0.350,511
10.350,0.375,532
10.350,0.3,259
10.350,0.425,564
10.350,0.45,590
10.350,0.475,625
10.350,0.4,544
10.350,0.5,625
10.400,0.025,1
10.400,0.05,34
10.400,0.075,34
10.400,0.125,34
10.400,0.150,34
10.400,0.175,41
10.400,0.1,34
10.400,0.225,184
10.400,0.25,199
10.400,0.275,206
10.400,0.2,63
10.400,0.325,477
10.400,0.350,500
10.400,0.375,566
10.400,0.3,230
10.400,0.425,597
10.400,0.45,610
10.400,0.475,622
10.400,0.4,597
10.400,0.5,622
10.450,0.025,1
10.450,0.05,35
10.450,0.075,38
10.450,0.125,43
10.450,0.150,46
10.450,0.175,46
10.450,0.1,43
10.450,0.225,145
10.450,0.25,350
10.450,0.275,402
10.450,0.2,130
10.450,0.325,418
10.450,0.350,454
10.450,0.375,495
10.450,0.3,413
10.450,0.425,551
10.450,0.45,598
10.450,0.475,598
10.450,0.4,537
10.450,0.5,598
10.500,0.025,1
10.500,0.05,37
10.500,0.075,37
10.500,0.125,37
10.500,0.150,37
10.500,0.175,44
10.500,0.1,37
10.500,0.225,103
10.500,0.25,143
10.500,0.275,158
10.500,0.2,48
10.500,0.325,426
10.500,0.350,469
10.500,0.375,510
10.500,0.3,400
10.500,0.425,563
10.500,0.45,578
10.500,0.475,591
10.500,0.4,533
10.500,0.5,607
10.550,0.025,1
10.550,0.05,1
10.550,0.075,31
10.550,0.125,31
10.550,0.150,31
10.550,0.175,85
10.550,0.1,31
10.550,0.225,135
10.550,0.25,275
10.550,0.275,304
10.550,0.2,118
10.550,0.325,451
10.550,0.350,523
10.550,0.375,525
10.550,0.3,432
10.550,0.425,570
10.550,0.45,593
10.550,0.475,605
10.550,0.4,548
10.550,0.5,605
10.600,0.025,1
10.600,0.05,31
10.600,0.075,31
10.600,0.125,31
10.600,0.150,31
10.600,0.175,39
10.600,0.1,31
10.600,0.225,138
10.600,0.25,145
10.600,0.275,317
10.600,0.2,39
10.600,0.325,441
10.600,0.350,444
10.600,0.375,497
10.600,0.3,362
10.600,0.425,556
10.600,0.45,556
10.600,0.475,569
10.600,0.4,535
10.600,0.5,569
10.650,0.025,1
10.650,0.05,32
10.650,0.075,35
10.650,0.125,35
10.650,0.150,35
10.650,0.175,35
10.650,0.1,35
10.650,0.225,172
10.650,0.25,167
10.650,0.275,167
10.650,0.2,146
10.650,0.325,350
10.650,0.350,369
10.650,0.375,401
10.650,0.3,301
10.650,0.425,565
10.650,0.45,565
10.650,0.475,565
10.650,0.4,482
10.650,0.5,565
10.700,0.025,1
10.700,0.05,27
10.700,0.075,56
10.700,0.125,72
10.700,0.150,78
10.700,0.175,80
10.700,0.1,72
10.700,0.225,87
10.700,0.25,85
10.700,0.275,310
10.700,0.2,87
10.700,0.325,419
10.700,0.350,441
10.700,0.375,500
10.700,0.3,389
10.700,0.425,571
10.700,0.45,571
10.700,0.475,588
10.700,0.4,537
10.700,0.5,588
10.750,0.025,1
10.750,0.05,42
10.750,0.075,42
10.750,0.125,42
10.750,0.150,42
10.750,0.175,42
10.750,0.1,42
10.750,0.225,130
10.750,0.25,131
10.750,0.275,131
10.750,0.2,46
10.750,0.325,441
10.750,0.350,448
10.750,0.375,456
10.750,0.3,403
10.750,0.425,565
10.750,0.45,594
10.750,0.475,616
10.750,0.4,554
10.750,0.5,642
10.800,0.025,1
10.800,0.05,35
10.800,0.075,66
10.800,0.125,69
10.800,0.150,72
10.800,0.175,138
10.800,0.1,66
10.800,0.225,154
10.800,0.25,167
10.800,0.275,174
10.800,0.2,149
10.800,0.325,365
10.800,0.350,402
10.800,0.375,402
10.800,0.3,322
10.800,0.425,519
10.800,0.45,531
10.800,0.475,561
10.800,0.4,451
10.800,0.5,588
10.850,0.025,1
10.850,0.05,34
10.850,0.075,40
10.850,0.125,40
10.850,0.150,43
10.850,0.175,43
10.850,0.1,40
10.850,0.225,91
10.850,0.25,156
10.850,0.275,188
10.850,0.2,91
10.850,0.325,407
10.850,0.350,411
10.850,0.375,424
10.850,0.3,369
10.850,0.425,485
10.850,0.45,542
10.850,0.475,577
10.850,0.4,460
10.850,0.5,577
10.900,0.025,1
10.900,0.05,36
10.900,0.075,36
10.900,0.125,38
10.900,0.150,41
10.900,0.175,41
10.900,0.1,38
10.900,0.225,135
10.900,0.25,141
10.900,0.275,147
10.900,0.2,45
10.900,0.325,430
10.900,0.350,506
10.900,0.375,529
10.900,0.3,374
10.900,0.425,531
10.900,0.45,544
10.900,0.475,551
10.900,0.4,529
10.900,0.5,592
10.950,0.025,1
10.950,0.05,38
10.950,0.075,38
10.950,0.125,46
10.950,0.150,38
10.950,0.175,83
10.950,0.1,38
10.950,0.225,143
10.950,0.25,322
10.950,0.275,329
10.950,0.2,134
10.950,0.325,436
10.950,0.350,507
10.950,0.375,507
10.950,0.3,410
10.950,0.425,568
10.950,0.45,589
10.950,0.475,596
10.950,0.4,557
10.950,0.5,596
11.000,0.025,1
11.000,0.05,32
11.000,0.075,35
11.000,0.125,35
11.000,0.150,38
11.000,0.175,38
11.000,0.1,35
11.000,0.225,107
11.000,0.25,239
11.000,0.275,265
11.000,0.2,81
11.000,0.325,409
11.000,0.350,463
11.000,0.375,532
11.000,0.3,365
11.000,0.425,570
11.000,0.45,599
11.000,0.475,599
11.000,0.4,542
11.000,0.5,599
11.050,0.025,1
11.050,0.05,34
11.050,0.075,42
11.050,0.125,42
11.050,0.150,42
11.050,0.175,52
11.050,0.1,42
11.050,0.225,56
11.050,0.25,192
11.050,0.275,345
11.050,0.2,56
11.050,0.325,482
11.050,0.350,484
11.050,0.375,503
11.050,0.3,306
11.050,0.425,537
11.050,0.45,585
11.050,0.475,592
11.050,0.4,516
11.050,0.5,599
11.100,0.025,1
11.100,0.05,33
11.100,0.075,33
11.100,0.125,33
11.100,0.150,36
11.100,0.175,92
11.100,0.1,33
11.100,0.225,128
11.100,0.25,171
11.100,0.275,216
11.100,0.2,120
11.100,0.325,478
11.100,0.350,503
11.100,0.375,548
11.100,0.3,403
11.100,0.425,616
11.100,0.45,616
11.100,0.475,643
11.100,0.4,610
11.100,0.5,643
11.150,0.025,1
11.150,0.05,35
11.150,0.075,37
11.150,0.125,37
11.150,0.150,37
11.150,0.175,40
11.150,0.1,37
11.150,0.225,108
11.150,0.25,288
11.150,0.275,308
11.150,0.2,40
11.150,0.325,415
11.150,0.350,481
11.150,0.375,532
11.150,0.3,365
11.150,0.425,566
11.150,0.45,566
11.150,0.475,615
11.150,0.4,532
11.150,0.5,615
11.200,0.025,1
11.200,0.05,36
11.200,0.075,36
11.200,0.125,45
11.200,0.150,48
11.200,0.175,48
11.200,0.1,36
11.200,0.225,125
11.200,0.25,188
11.200,0.275,193
11.200,0.2,107
11.200,0.325,395
11.200,0.350,416
11.200,0.375,489
11.200,0.3,364
11.200,0.425,529
11.200,0.45,539
11.200,0.475,554
11.200,0.4,514
11.200,0.5,554
11.250,0.025,1
11.250,0.05,41
11.250,0.075,41
11.250,0.125,44
11.250,0.150,44
11.250,0.175,72
11.250,0.1,44
11.250,0.225,130
11.250,0.25,133
11.250,0.275,148
11.250,0.2,130
11.250,0.325,432
11.250,0.350,471
11.250,0.375,507
11.250,0.3,251
11.250,0.425,610
11.250,0.45,635
11.250,0.475,635
11.250,0.4,527
11.250,0.5,635
11.300,0.025,1
11.300,0.05,1
11.300,0.075,33
11.300,0.125,33
11.300,0.150,52
11.300,0.175,80
11.300,0.1,33
11.300,0.225,84
11.300,0.25,136
11.300,0.275,319
11.300,0.2,80
11.300,0.325,448
11.300,0.350,478
11.300,0.375,486
11.300,0.3,361
11.300,0.425,537
11.300,0.45,565
11.300,0.475,577
11.300,0.4,521
11.300,0.5,577
11.350,0.025,1
11.350,0.05,1
11.350,0.075,38
11.350,0.125,41
11.350,0.150,41
11.350,0.175,41
11.350,0.1,41
11.350,0.225,126
11.350,0.25,134
11.350,0.275,136
11.350,0.2,126
11.350,0.325,442
11.350,0.350,476
11.350,0.375,464
11.350,0.3,390
11.350,0.425,565
11.350,0.45,576
11.350,0.475,603
11.350,0.4,534
11.350,0.5,603
11.400,0.025,1
11.400,0.05,31
11.400,0.075,31
11.400,0.125,31
11.400,0.150,31
11.400,0.175,31
11.400,0.1,31
11.400,0.225,92
11.400,0.25,116
11.400,0.275,335
11.400,0.2,47
11.400,0.325,402
11.400,0.350,525
11.400,0.375,538
11.400,0.3,379
11.400,0.425,590
11.400,0.45,616
11.400,0.475,625
11.400,0.4,573
11.400,0.5,625
11.450,0.025,1
11.450,0.05,1
11.450,0.075,36
11.450,0.125,36
11.450,0.150,36
11.450,0.175,42
11.450,0.1,36
11.450,0.225,91
11.450,0.25,146
11.450,0.275,214
11.450,0.2,78
11.450,0.325,464
11.450,0.350,509
11.450,0.375,509
11.450,0.3,435
11.450,0.425,524
11.450,0.45,565
11.450,0.475,663
11.450,0.4,513
11.450,0.5,663
11.500,0.025,1
11.500,0.05,38
11.500,0.075,38
11.500,0.125,44
11.500,0.150,44
11.500,0.175,92
11.500,0.1,44
11.500,0.225,130
11.500,0.25,130
11.500,0.275,272
11.500,0.2,112
11.500,0.325,330
11.500,0.350,411
11.500,0.375,429
11.500,0.3,330
11.500,0.425,476
11.500,0.45,527
11.500,0.475,558
11.500,0.4,441
11.500,0.5,558
11.550,0.025,1
11.550,0.05,35
11.550,0.075,35
11.550,0.125,35
11.550,0.150,38
11.550,0.175,38
11.550,0.1,35
11.550,0.225,42
11.550,0.25,197
11.550,0.275,367
11.550,0.2,42
11.550,0.325,434
11.550,0.350,480
11.550,0.375,483
11.550,0.3,389
11.550,0.425,546
11.550,0.45,568
11.550,0.475,589
11.550,0.4,505
11.550,0.5,589
11.600,0.025,1
11.600,0.05,31
11.600,0.075,31
11.600,0.125,40
11.600,0.150,40
11.600,0.175,40
11.600,0.1,40
11.600,0.225,162
11.600,0.25,167
11.600,0.275,210
11.600,0.2,72
11.600,0.325,484
11.600,0.350,513
11.600,0.375,522
11.600,0.3,223
11.600,0.425,620
11.600,0.45,626
11.600,0.475,626
11.600,0.4,606
11.600,0.5,644
11.650,0.025,1
11.650,0.05,1
11.650,0.075,1
11.650,0.125,51
11.650,0.150,51
11.650,0.175,51
11.650,0.1,51
11.650,0.225,154
11.650,0.25,179
11.650,0.275,361
11.650,0.2,150
11.650,0.325,422
11.650,0.350,440
11.650,0.375,502
11.650,0.3,402
11.650,0.425,564
11.650,0.45,572
11.650,0.475,599
11.650,0.4,521
11.650,0.5,599
11.700,0.025,1
11.700,0.05,28
11.700,0.075,28
11.700,0.125,28
11.700,0.150,108
11.700,0.175,113
11.700,0.1,28
11.700,0.225,114
11.700,0.25,128
11.700,0.275,138
11.700,0.2,117
11.700,0.325,399
11.700,0.350,412
11.700,0.375,430
11.700,0.3,151
11.700,0.425,490
11.700,0.45,516
11.700,0.475,567
11.700,0.4,440
11.700,0.5,567
11.750,0.025,1
11.750,0.05,1
11.750,0.075,44
11.750,0.125,44
11.750,0.150,44
11.750,0.175,44
11.750,0.1,44
11.750,0.225,132
11.750,0.25,136
11.750,0.275,145
11.750,0.2,117
11.750,0.325,326
11.750,0.350,458
11.750,0.375,467
11.750,0.3,322
11.750,0.425,507
11.750,0.45,560
11.750,0.475,601
11.750,0.4,492
11.750,0.5,601
11.800,0.025,1
11.800,0.05,27
11.800,0.075,33
11.800,0.125,33
11.800,0.150,33
11.800,0.175,62
11.800,0.1,33
11.800,0.225,114
11.800,0.25,128
11.800,0.275,190
11.800,0.2,120
11.800,0.325,436
11.800,0.350,495
11.800,0.375,522
11.800,0.3,429
11.800,0.425,555
11.800,0.45,563
11.800,0.475,579
11.800,0.4,531
11.800,0.5,596
11.850,0.025,1
11.850,0.05,35
11.850,0.075,38
11.850,0.125,47
11.850,0.150,50
11.850,0.175,50
11.850,0.1,47
11.850,0.225,127
11.850,0.25,139
11.850,0.275,343
11.850,0.2,50
11.850,0.325,361
11.850,0.350,478
11.850,0.375,496
11.850,0.3,354
11.850,0.425,542
11.850,0.45,561
11.850,0.475,574
11.850,0.4,519
11.850,0.5,574
11.900,0.025,1
11.900,0.05,1
11.900,0.075,35
11.900,0.125,35
11.900,0.150,38
11.900,0.175,38
11.900,0.1,35
11.900,0.225,122
11.900,0.25,129
11.900,0.275,179
11.900,0.2,64
11.900,0.325,376
11.900,0.350,413
11.900,0.375,475
11.900,0.3,376
11.900,0.425,566
11.900,0.45,608
11.900,0.475,621
11.900,0.4,502
11.900,0.5,660
11.950,0.025,1
11.950,0.05,1
11.950,0.075,38
11.950,0.125,103
11.950,0.150,103
11.950,0.175,103
11.950,0.1,38
11.950,0.225,107
11.950,0.25,114
11.950,0.275,295
11.950,0.2,103
11.950,0.325,344
11.950,0.350,363
11.950,0.375,446
11.950,0.3,337
11.950,0.425,493
11.950,0.45,553
11.950,0.475,553
11.950,0.4,462
11.950,0.5,553
12.000,0.025,1
12.000,0.05,33
12.000,0.075,33
12.000,0.125,33
12.000,0.150,33
12.000,0.175,33
12.000,0.1,33
12.000,0.225,125
12.000,0.25,170
12.000,0.275,191
12.000,0.2,95
12.000,0.325,381
12.000,0.350,454
12.000,0.375,512
12.000,0.3,377
12.000,0.425,558
12.000,0.45,571
12.000,0.475,594
12.000,0.4,521
12.000,0.5,594
12.050,0.025,1
12.050,0.05,1
12.050,0.075,27
12.050,0.125,37
12.050,0.150,37
12.050,0.175,39
12.050,0.1,37
12.050,0.225,139
12.050,0.25,224
12.050,0.275,374
12.050,0.2,39
12.050,0.325,479
12.050,0.350,484
12.050,0.375,501
12.050,0.3,375
12.050,0.425,570
12.050,0.45,597
12.050,0.475,628
12.050,0.4,501
12.050,0.5,628
12.100,0.025,1
12.100,0.05,38
12.100,0.075,38
12.100,0.125,38
12.100,0.150,41
12.100,0.175,41
12.100,0.1,38
12.100,0.225,114
12.100,0.25,119
12.100,0.275,143
12.100,0.2,45
12.100,0.325,320
12.100,0.350,384
12.100,0.375,431
12.100,0.3,274
12.100,0.425,549
12.100,0.45,564
12.100,0.475,579
12.100,0.4,538
12.100,0.5,579
12.150,0.025,1
12.150,0.05,29
12.150,0.075,32
12.150,0.125,38
12.150,0.150,38
12.150,0.175,38
12.150,0.1,38
12.150,0.225,159
12.150,0.25,166
12.150,0.275,166
12.150,0.2,52
12.150,0.325,413
12.150,0.350,467
12.150,0.375,476
12.150,0.3,381
12.150,0.425,578
12.150,0.45,606
12.150,0.475,643
12.150,0.4,499
12.150,0.5,669
12.200,0.025,25
12.200,0.05,28
12.200,0.075,28
12.200,0.125,35
12.200,0.150,35
12.200,0.175,35
12.200,0.1,35
12.200,0.225,42
12.200,0.25,88
12.200,0.275,334
12.200,0.2,42
12.200,0.325,444
12.200,0.350,480
12.200,0.375,510
12.200,0.3,377
12.200,0.425,564
12.200,0.45,592
12.200,0.475,592
12.200,0.4,553
12.200,0.5,603
12.250,0.025,1
12.250,0.05,35
12.250,0.075,35
12.250,0.125,35
12.250,0.150,35
12.250,0.175,35
12.250,0.1,35
12.250,0.225,169
12.250,0.25,177
12.250,0.275,275
12.250,0.2,35
12.250,0.325,420
12.250,0.350,482
12.250,0.375,508
12.250,0.3,418
12.250,0.425,575
12.250,0.45,609
12.250,0.475,620
12.250,0.4,534
12.250,0.5,631
12.300,0.025,1
12.300,0.05,1
12.300,0.075,40
12.300,0.125,40
12.300,0.150,61
12.300,0.175,61
12.300,0.1,40
12.300,0.225,167
12.300,0.25,347
12.300,0.275,410
12.300,0.2,61
12.300,0.325,468
12.300,0.350,507
12.300,0.375,529
12.300,0.3,412
12.300,0.425,557
12.300,0.45,607
12.300,0.475,626
12.300,0.4,538
12.300,0.5,632
12.350,0.025,1
12.350,0.05,32
12.350,0.075,32
12.350,0.125,32
12.350,0.150,32
12.350,0.175,90
12.350,0.1,32
12.350,0.225,153
12.350,0.25,160
12.350,0.275,172
12.350,0.2,110
12.350,0.325,373
12.350,0.350,453
12.350,0.375,484
12.350,0.3,359
12.350,0.425,572
12.350,0.45,580
12.350,0.475,599
12.350,0.4,513
12.350,0.5,599
12.400,0.025,1
12.400,0.05,34
12.400,0.075,34
12.400,0.125,40
12.400,0.150,40
12.400,0.175,63
12.400,0.1,40
12.400,0.225,67
12.400,0.25,150
12.400,0.275,245
12.400,0.2,67
12.400,0.325,435
12.400,0.350,455
12.400,0.375,515
12.400,0.3,436
12.400,0.425,561
12.400,0.45,575
12.400,0.475,601
12.400,0.4,540
12.400,0.5,601
12.450,0.025,1
12.450,0.05,28
12.450,0.075,37
12.450,0.125,37
12.450,0.150,37
12.450,0.175,71
12.450,0.1,37
12.450,0.225,117
12.450,0.25,368
12.450,0.275,413
12.450,0.2,117
12.450,0.325,519
12.450,0.350,550
12.450,0.375,577
12.450,0.3,453
12.450,0.425,606
12.450,0.45,624
12.450,0.475,624
12.450,0.4,595
12.450,0.5,624
12.500,0.025,1
12.500,0.05,1
12.500,0.075,28
12.500,0.125,28
12.500,0.150,28
12.500,0.175,74
12.500,0.1,28
12.500,0.225,120
12.500,0.25,174
12.500,0.275,180
12.500,0.2,85
12.500,0.325,452
12.500,0.350,462
12.500,0.375,562
12.500,0.3,194
12.500,0.425,599
12.500,0.45,624
